broad_case_group,response_relevancy_count,response_relevancy_mean,response_relevancy_median,response_relevancy_min,response_relevancy_max,context_utilization_count,context_utilization_mean,context_utilization_median,context_utilization_min,context_utilization_max
Headache,2,0.4795071901109955,0.4795071901109955,0.4782322757606085,0.4807821044613825,2,0.9658978174489381,0.9658978174489381,0.9317956349089874,0.9999999999888888
Musculoskeletal/TMD,4,0.4714911486281236,0.4378532819075502,0.4249970491046304,0.5852609815927636,4,0.8911954364923971,0.8998263888720607,0.8583333333161667,0.9067956349093
Neuropathic-related,3,0.4899525593226146,0.5091205687422923,0.4470186518813324,0.5137184573442193,3,0.8849560657469188,0.8917233559963313,0.8105158730023644,0.9526289682420604
